Job ID,Job Title,Company,Metro Area,City,State,Industry,Role Category,Role Group,Employment Type,Work Arrangement,Salary Min,Salary Max,Salary Avg,Salary Listed?,Experience Required,Degree Required,SQL Required,Python Required,Excel Required,Power BI Required,Tableau Required,ServiceNow Required,Ticketing Required,Cloud Required,Healthcare/Research Related,Security Clearance Mentioned,U.S. Citizenship Required,Clearance/Citizenship Barrier?,Posting URL,Date Collected,Notes
53,Engineer Computer Systems Support,Tata Consultancy Services,Philadelphia,West Chester,PA,IT Consulting / Technology Services,IT Support / Desktop Support / End User Support,IT Support / Help Desk,Full-time,On-site / unknown,60000,65000,62500,Yes,Entry-level / early-career,Yes,0,0,0,0,0,0,0,0,0,0,0,No,https://ibegin.tcsapps.com/candidate/jobs/415757J,7/9/2026,"Desktop support role involving hardware/software assistance, desktop/peripheral installation and configuration, troubleshooting desktop/apps/network issues, user training, documentation, AV/conference room support, Teams, iOS, and MDM."
54,IT Help Desk Technician,NuvemRx,Philadelphia,Sharon Hill,PA,Healthcare / Pharmacy Technology / Health IT,IT Support / Help Desk / Desktop Support / Systems Support,IT Support / Help Desk,Full-time,Hybrid,65000,74984,69992,Yes,Help desk/IT support experience expected,No,0,0,0,0,0,0,1,1,1,0,0,No,https://www.linkedin.com/jobs/view/4423066064/,7/9/2026,"Healthcare/pharmacy IT help desk role involving Windows, Apple, IoT, printers, phones, cameras/NVRs, conference systems, network, Office 365, Azure AD, Azure cloud, ticketing, WAN/LAN/Wi-Fi, Windows Server, Cisco, SonicWall/FortiGate, VMs/VDI, POS, MDM, cabling, on-call, travel, and driver requirement."
55,340B - Support Engineer Level 1,HCLTech,Philadelphia,Philadelphia,PA,Healthcare Technology / Pharmacy Support / IT Consulting,IT Support / Application Support / Level 1 Support,IT Support / Help Desk,Full-time,Remote,54000,82000,68000,Yes,No specific years listed,Unknown,0,0,0,0,0,0,1,0,1,0,0,No,https://www.linkedin.com/jobs/view/4427878162/,7/9/2026,"Level 1 healthcare application support role involving phone/email/remote support, software, ordering, invoicing, ticketing, knowledge base documentation, training, 340B Order Link Portal, purchase orders, auto scheduling, contract pharmacy support, transaction records, eligibility/compliance, reports, and invoicing."
56,IT Help Desk Technician (Entry-Level),SystImmune,Philadelphia,Princeton,NJ,Biotechnology / Biopharmaceuticals / Healthcare Research IT,IT Support / Help Desk / Desktop Support,IT Support / Help Desk,Full-time,On-site,45000,70000,57500,Yes,Entry-level; help desk systems and hands-on OS/device support expected,No / associate or equivalent preferred,0,0,0,0,0,0,1,1,1,0,0,No,https://www.linkedin.com/jobs/view/4435027713/,7/9/2026,"Biopharma help desk role involving hardware/software/network support, PCs, printers, mobile devices, lab equipment, remote employees, workstation setup, IT/AV, provisioning/decommissioning, infrastructure/server support, Windows, macOS, Linux, iOS, Android, Office, Teams, WebEx, Zoom, virtualization, cloud, DNS, DHCP, IP, Cisco, Palo Alto, and cabling."
57,Data Engineer,SG2 Recruiting / Trend Health Partners,Bethesda/DC,Maryland,MD,Healthcare Data / Health IT / Recruiting for Client,Data Engineering / ETL / Healthcare Data,Data / BI / Analytics,Full-time,Remote,80000,105000,92500,Yes,"Junior Data Engineer I role; basic Python, T-SQL, relational database, and data pipeline knowledge required; some professional data experience preferred",Yes,1,1,0,0,0,0,0,1,1,0,0,No,https://jobs.crelate.com/portal/sg2recruiting/job/apply/nge8sud1uw4woaht3wigismhkr,7/9/2026,"Data Engineer I role involving data pipelines, workflows, Python, T-SQL, SSMS, Databricks, Azure Data Factory, healthcare datasets, technical specs, code reviews, documentation, ad hoc reports, troubleshooting 100+ pipelines, application development collaboration, recommendations, and automation."
58,Operations Analyst,Confidential,Bethesda/DC,Washington,DC,Business Operations / Procurement / Financial Analysis,Data / Operations Analytics / Reporting,Data / BI / Analytics,Full-time,Hybrid,65000,75000,70000,Yes,1?2 years operations/procurement/business analytics/financial analysis/consulting experience,Yes,0,0,1,0,0,0,0,0,0,0,0,No,https://www.linkedin.com/jobs/view/4426946986/,7/9/2026,"Operations analytics role involving operational, procurement, and financial data analysis, dashboards, reports, KPI tracking, vendor spend, contract utilization, supplier performance, budgeting, forecasting, planning, data validation, presentations, executive summaries, process improvement, and automation opportunities."
59,Operations Analytics Analyst ? Commercial Real Estate,Walker & Dunlop,Bethesda/DC,Bethesda,MD,Commercial Real Estate / Financial Services / Debt Operations,Data / Operations Analytics / Reporting / BI,Data / BI / Analytics,Full-time,Hybrid,60000,70000,65000,Yes,"1?3 years relevant experience in CRE, financial services, lending, operations, analytics, business systems, or data analysis",Yes,0,0,1,1,0,0,0,0,0,0,0,No,https://walkerdunlop.wd1.myworkdayjobs.com/WD/job/Bethesda-MD-USA/Operations-Analytics-Analyst---Commercial-Real-Estate_Req-1943?source=LinkedIn,7/9/2026,"Operations analytics role involving recurring reports, trackers, dashboards, analytical tools, Excel, Power BI, operational/loan-level/process data, trend analysis, exceptions, risk, data aggregation, UAT, documentation, field dictionaries, change logs, training materials, and stakeholder communication. SQL preferred."
60,Junior Data Analyst/BI Analyst,Alaka`ina Foundation Family of Companies / Bering-Alaka`ina Holdings,Bethesda/DC,Washington,DC,Government Contractor / Federal Services / Business Intelligence,Data / BI / Reporting / Power BI,Data / BI / Analytics,Full-time,On-site / unclear,Unknown,Unknown,,No,0?3 years dashboard or Power BI experience,Yes,1,0,1,1,0,0,0,1,0,1,1,Yes,https://phg.tbe.taleo.net/phg04/ats/careers/v2/viewRequisition?org=AKIMEKATECH&cws=43&rid=14076&source=LinkedIn,7/9/2026,"Junior BI role involving Power BI dashboards, reports, reusable datasets, KPIs, DAX, Power Query, Dataflows, semantic modeling, SQL, Excel, SharePoint, APIs, cloud platforms, workspace governance, scheduled refreshes, documentation, SOPs, stakeholder requirements, dashboard training, automation, ETL, star schema, Azure SQL, Dataverse, Microsoft Fabric, Azure Data Factory, Databricks, Agile, and Power Platform. Requires citizenship and ability to obtain Secret clearance."
61,Data Analyst || W2,Ingress IT Services,Bethesda/DC,Herndon,VA,IT Staffing / Data Analytics / Cloud & Database Support,Data / Analytics / Reporting,Data / BI / Analytics,Contract,On-site,75000,80000,77500,Yes,"No specific years listed; quantitative/data analysis, programming, cloud, and relational database familiarity expected",Yes / quantitative field preferred,1,1,0,0,0,0,0,1,0,0,0,No,https://www.linkedin.com/jobs/view/4431284733/,7/9/2026,"Staffing/contract data analyst role involving quantitative analysis, software development principles, problem solving, Python/SQL/R, AWS or Google Cloud, relational databases such as MySQL, communication, teamwork, and customer collaboration. W2-only contract."
62,"Business Data Analyst, Construction (Entry Level)",The Poole and Kent Corporation,Bethesda/DC,Baltimore,MD,Construction / Mechanical & Electrical Contracting / Business Analytics,Data / Business Analytics / Reporting / Power BI,Data / BI / Analytics,Full-time,On-site / field location travel,68000,82000,75000,Yes,1?3 years professional experience inclusive of internship experience preferred,No / bachelor's degree preferred,1,0,1,1,0,0,0,0,0,0,0,No,https://careers-emcorgroup.icims.com/jobs/1763/business-data-analyst%2C-construction-%28entry-level%29/job?in_iframe=1&mode=apply&iis=LinkedIn&iisn=LinkedIn,7/9/2026,"Entry-level business data analyst role involving statistical analysis, data integration, accuracy/integrity checks, query/report writing, trend analysis, root cause analysis, Excel, Power BI, and business efficiency improvement. Requires full-time U.S. work authorization without current/future sponsorship."
63,Data Analyst Associate - 2027,Capital One,Bethesda/DC,McLean,VA,Financial Technology / Banking / Data Analytics,Data / Analytics / Rotational Analyst Program,Data / BI / Analytics,Full-time,Hybrid,109000,109000,109000,Yes,New-grad associate rotational program; cohort start February or August 2027; no specific prior years required,Yes,0,0,0,0,0,0,0,1,0,0,0,No,https://dsp.prng.co/zxvN1Db,7/9/2026,"Two-year Data Analyst Associate rotational program involving strategic analytics, business challenges, data mining, marketing channel testing, modeling, cloud-based tools, structured/unstructured data, customer insights, data integration, digital initiatives, SQL or open-source analytics languages, collaboration, communication, and business strategy. No sponsorship/OPT/CPT support."
64,Entry Level Software Developer,SkillStorm,Bethesda/DC,Washington,DC,Technology Training / IT Consulting / Enterprise & Government Clients,Software Development / Junior Developer,Software / Application,Full-time,On-site,Unknown,Unknown,,No,Bachelor's in related technical field or 1+ year technical work experience; programming fundamentals expected,No / bachelor's or 1+ technical experience accepted,1,0,0,0,0,0,0,0,0,1,0,Yes,https://careers.skillstorm.com/jobs/entry-level-software-developer-42447,7/9/2026,"Entry-level software developer role with 12 weeks of paid hands-on training followed by enterprise or government client deployment. Responsibilities include application development, clean code, defect fixing, technical support, code reviews, business requirements translation, testing, deployment, documentation, SQL, data structures, algorithms, Java or C#, and client collaboration. Requires ability to obtain U.S. government clearance, relocation openness, and W2 work authorization."
65,Junior Network Engineer,SECUNETICS,Bethesda/DC,Washington DC-Baltimore Area,DC/MD,Network Infrastructure / Government & Commercial IT,Infrastructure / Network Engineering / Network Performance,Infrastructure / Cloud / Security,Full-time,On-site,Unknown,Unknown,,No,"1+ years network administration required; junior networking, scripting, and infrastructure performance skills expected",Yes,0,1,0,0,0,0,0,0,0,1,1,Yes,https://secunetics.bamboohr.com/careers/69,7/9/2026,"Junior network engineer role involving IT infrastructure performance assessment, baselines, optimization, network administration, LDAP, SAML, OAuth 2.0, SSH, SFTP, SCP, SNMPv3, NetFlow, SMTP, Python/Bash automation, CI/CD, TCP/IP, traffic analysis, TAPs, traffic brokers, OSPF, BGP, EIGRP, EVPN, SDLC, systems engineering, IT performance management, IT operations, monitoring, security monitoring, KPIs, client communication, and technical writing. Requires U.S. citizenship and ability to be clearable to TS; active clearance is a bonus."
